date,country,temperature,rainfall
2021-02-14,France,28,222
2021-02-14,Argentina,35,349
2021-02-14,Denmark,-1,193
2021-02-14,China,37,221
2021-02-14,Australia,50,93
2021-02-15,France,34,71
2021-02-15,Argentina,0,82
2021-02-15,Denmark,34,180
2021-02-15,China,10,138
2021-02-15,Australia,10,106
2021-02-16,France,52,207
2021-02-16,Argentina,45,5
2021-02-16,Denmark,44,268
2021-02-16,China,9,44
2021-02-16,Australia,34,215
2021-02-17,France,10,118
2021-02-17,Argentina,9,42
2021-02-17,Denmark,-8,227
2021-02-17,China,14,191
2021-02-17,Australia,49,342
2021-02-18,France,25,129
2021-02-18,Argentina,20,325
2021-02-18,Denmark,26,320
2021-02-18,China,-1,70
2021-02-18,Australia,14,299
2021-02-19,France,43,74
2021-02-19,Argentina,43,56
2021-02-19,Denmark,19,86
2021-02-19,China,31,62
2021-02-19,Australia,42,195
2021-02-20,France,3,347
2021-02-20,Argentina,-3,264
2021-02-20,Denmark,22,337
2021-02-20,China,-6,253
2021-02-20,Australia,47,211
2021-02-21,France,-1,201
2021-02-21,Argentina,43,309
2021-02-21,Denmark,7,98
2021-02-21,China,9,14
2021-02-21,Australia,48,313
2021-02-22,France,-10,217
2021-02-22,Argentina,13,249
2021-02-22,Denmark,-8,322
2021-02-22,China,21,111
2021-02-22,Australia,-1,29
2021-02-23,France,52,24
2021-02-23,Argentina,44,159
2021-02-23,Denmark,-6,16
2021-02-23,China,30,119
2021-02-23,Australia,21,191
2021-02-24,France,39,127
2021-02-24,Argentina,-5,240
2021-02-24,Denmark,-2,143
2021-02-24,China,29,136
2021-02-24,Australia,34,149
2021-02-25,France,27,300
2021-02-25,Argentina,1,11
2021-02-25,Denmark,39,59
2021-02-25,China,-2,143
2021-02-25,Australia,30,293
2021-02-26,France,14,46
2021-02-26,Argentina,16,195
2021-02-26,Denmark,54,258
2021-02-26,China,52,13
2021-02-26,Australia,23,195
2021-02-27,France,28,288
2021-02-27,Argentina,33,214
2021-02-27,Denmark,23,75
2021-02-27,China,31,330
2021-02-27,Australia,7,105
2021-02-28,France,35,234
2021-02-28,Argentina,-8,111
2021-02-28,Denmark,-6,183
2021-02-28,China,42,233
2021-02-28,Australia,27,249
2021-03-01,France,18,184
2021-03-01,Argentina,41,41
2021-03-01,Denmark,6,306
2021-03-01,China,-7,268
2021-03-01,Australia,53,179
2021-03-02,France,41,101
2021-03-02,Argentina,14,100
2021-03-02,Denmark,11,83
2021-03-02,China,34,30
2021-03-02,Australia,45,275
2021-03-03,France,55,172
2021-03-03,Argentina,-2,344
2021-03-03,Denmark,48,208
2021-03-03,China,38,74
2021-03-03,Australia,16,173
2021-03-04,France,-5,184
2021-03-04,Argentina,-10,13
2021-03-04,Denmark,19,327
2021-03-04,China,5,209
2021-03-04,Australia,22,186
2021-03-05,France,6,301
2021-03-05,Argentina,55,67
2021-03-05,Denmark,11,302
2021-03-05,China,19,303
2021-03-05,Australia,29,230
2021-03-06,France,36,233
2021-03-06,Argentina,4,336
2021-03-06,Denmark,25,291
2021-03-06,China,-9,115
2021-03-06,Australia,7,192
2021-03-07,France,-11,327
2021-03-07,Argentina,10,41
2021-03-07,Denmark,4,210
2021-03-07,China,53,190
2021-03-07,Australia,12,40
2021-03-08,France,-1,149
2021-03-08,Argentina,7,211
2021-03-08,Denmark,11,345
2021-03-08,China,45,161
2021-03-08,Australia,-4,220
2021-03-09,France,-4,253
2021-03-09,Argentina,4,286
2021-03-09,Denmark,-10,208
2021-03-09,China,18,254
2021-03-09,Australia,-9,1
2021-03-10,France,23,310
2021-03-10,Argentina,0,169
2021-03-10,Denmark,-6,11
2021-03-10,China,40,27
2021-03-10,Australia,40,258
2021-03-11,France,-11,276
2021-03-11,Argentina,55,274
2021-03-11,Denmark,-7,251
2021-03-11,China,11,231
2021-03-11,Australia,15,82
2021-03-12,France,-7,334
2021-03-12,Argentina,31,1
2021-03-12,Denmark,2,204
2021-03-12,China,34,187
2021-03-12,Australia,-7,342
2021-03-13,France,23,192
2021-03-13,Argentina,19,121
2021-03-13,Denmark,45,159
2021-03-13,China,-4,164
2021-03-13,Australia,25,195
2021-03-14,France,36,187
2021-03-14,Argentina,14,19
2021-03-14,Denmark,44,345
2021-03-14,China,16,171
2021-03-14,Australia,-3,233
2021-03-15,France,38,1
2021-03-15,Argentina,1,218
2021-03-15,Denmark,5,179
2021-03-15,China,12,223
2021-03-15,Australia,29,60
2021-03-16,France,5,27
2021-03-16,Argentina,40,135
2021-03-16,Denmark,33,40
2021-03-16,China,41,302
2021-03-16,Australia,21,22
2021-03-17,France,25,235
2021-03-17,Argentina,7,294
2021-03-17,Denmark,51,321
2021-03-17,China,46,137
2021-03-17,Australia,-7,161
2021-03-18,France,44,63
2021-03-18,Argentina,7,18
2021-03-18,Denmark,20,264
2021-03-18,China,19,124
2021-03-18,Australia,15,180
2021-03-19,France,26,111
2021-03-19,Argentina,21,315
2021-03-19,Denmark,47,135
2021-03-19,China,8,41
2021-03-19,Australia,46,223
2021-03-20,France,35,155
2021-03-20,Argentina,54,272
2021-03-20,Denmark,50,3
2021-03-20,China,12,7
2021-03-20,Australia,47,52
2021-03-21,France,44,116
2021-03-21,Argentina,40,54
2021-03-21,Denmark,43,185
2021-03-21,China,47,47
2021-03-21,Australia,52,78
2021-03-22,France,44,124
2021-03-22,Argentina,44,125
2021-03-22,Denmark,15,38
2021-03-22,China,7,24
2021-03-22,Australia,4,209
2021-03-23,France,41,42
2021-03-23,Argentina,25,292
2021-03-23,Denmark,46,99
2021-03-23,China,0,265
2021-03-23,Australia,54,30
2021-03-24,France,14,247
2021-03-24,Argentina,36,267
2021-03-24,Denmark,49,265
2021-03-24,China,32,78
2021-03-24,Australia,-4,95
2021-03-25,France,35,116
2021-03-25,Argentina,24,262
2021-03-25,Denmark,9,195
2021-03-25,China,22,216
2021-03-25,Australia,22,213
2021-03-26,France,0,63
2021-03-26,Argentina,42,204
2021-03-26,Denmark,16,129
2021-03-26,China,44,18
2021-03-26,Australia,30,64
2021-03-27,France,-7,99
2021-03-27,Argentina,2,83
2021-03-27,Denmark,13,338
2021-03-27,China,32,284
2021-03-27,Australia,13,73
2021-03-28,France,15,348
2021-03-28,Argentina,12,295
2021-03-28,Denmark,11,110
2021-03-28,China,21,339
2021-03-28,Australia,-6,275
2021-03-29,France,39,42
2021-03-29,Argentina,16,201
2021-03-29,Denmark,25,24
2021-03-29,China,4,160
2021-03-29,Australia,2,281
2021-03-30,France,24,231
2021-03-30,Argentina,54,295
2021-03-30,Denmark,-4,317
2021-03-30,China,-4,223
2021-03-30,Australia,13,338
2021-03-31,France,36,78
2021-03-31,Argentina,49,108
2021-03-31,Denmark,40,29
2021-03-31,China,14,38
2021-03-31,Australia,-7,95
2021-04-01,France,47,184
2021-04-01,Argentina,34,22
2021-04-01,Denmark,35,4
2021-04-01,China,4,70
2021-04-01,Australia,-8,195
2021-04-02,France,-11,90
2021-04-02,Argentina,12,115
2021-04-02,Denmark,19,282
2021-04-02,China,21,137
2021-04-02,Australia,-10,28
2021-04-03,France,3,151
2021-04-03,Argentina,-7,25
2021-04-03,Denmark,17,44
2021-04-03,China,36,107
2021-04-03,Australia,1,259
2021-04-04,France,26,65
2021-04-04,Argentina,36,349
2021-04-04,Denmark,9,83
2021-04-04,China,16,218
2021-04-04,Australia,1,269
2021-04-05,France,18,155
2021-04-05,Argentina,13,124
2021-04-05,Denmark,-3,143
2021-04-05,China,17,57
2021-04-05,Australia,3,320
2021-04-06,France,-8,89
2021-04-06,Argentina,-1,207
2021-04-06,Denmark,37,20
2021-04-06,China,54,21
2021-04-06,Australia,47,168
2021-04-07,France,-3,287
2021-04-07,Argentina,8,184
2021-04-07,Denmark,54,121
2021-04-07,China,21,287
2021-04-07,Australia,-1,255
2021-04-08,France,43,346
2021-04-08,Argentina,35,82
2021-04-08,Denmark,15,164
2021-04-08,China,9,129
2021-04-08,Australia,54,282
2021-04-09,France,16,170
2021-04-09,Argentina,-7,292
2021-04-09,Denmark,43,332
2021-04-09,China,45,280
2021-04-09,Australia,-4,245
2021-04-10,France,50,203
2021-04-10,Argentina,14,29
2021-04-10,Denmark,23,131
2021-04-10,China,3,75
2021-04-10,Australia,-7,31
2021-04-11,France,-5,318
2021-04-11,Argentina,22,40
2021-04-11,Denmark,47,141
2021-04-11,China,3,7
2021-04-11,Australia,53,57
2021-04-12,France,45,187
2021-04-12,Argentina,15,75
2021-04-12,Denmark,44,270
2021-04-12,China,29,12
2021-04-12,Australia,-11,289
2021-04-13,France,54,100
2021-04-13,Argentina,-8,234
2021-04-13,Denmark,19,33
2021-04-13,China,38,95
2021-04-13,Australia,30,127
2021-04-14,France,16,139
2021-04-14,Argentina,39,237
2021-04-14,Denmark,19,55
2021-04-14,China,-4,188
2021-04-14,Australia,40,10
2021-04-15,France,38,185
2021-04-15,Argentina,51,189
2021-04-15,Denmark,3,199
2021-04-15,China,-10,329
2021-04-15,Australia,20,51
2021-04-16,France,30,286
2021-04-16,Argentina,-6,83
2021-04-16,Denmark,9,148
2021-04-16,China,36,4
2021-04-16,Australia,44,202
2021-04-17,France,14,342
2021-04-17,Argentina,50,6
2021-04-17,Denmark,19,310
2021-04-17,China,34,37
2021-04-17,Australia,29,20
2021-04-18,France,13,234
2021-04-18,Argentina,38,11
2021-04-18,Denmark,-3,99
2021-04-18,China,15,243
2021-04-18,Australia,5,14
2021-04-19,France,-10,124
2021-04-19,Argentina,47,299
2021-04-19,Denmark,22,301
2021-04-19,China,42,284
2021-04-19,Australia,2,37
2021-04-20,France,4,17
2021-04-20,Argentina,30,273
2021-04-20,Denmark,1,298
2021-04-20,China,41,223
2021-04-20,Australia,41,298
2021-04-21,France,26,31
2021-04-21,Argentina,39,184
2021-04-21,Denmark,16,158
2021-04-21,China,16,340
2021-04-21,Australia,27,65
2021-04-22,France,46,250
2021-04-22,Argentina,1,187
2021-04-22,Denmark,-5,30
2021-04-22,China,13,84
2021-04-22,Australia,43,22
2021-04-23,France,5,58
2021-04-23,Argentina,33,131
2021-04-23,Denmark,7,100
2021-04-23,China,-11,158
2021-04-23,Australia,17,185
2021-04-24,France,-7,266
2021-04-24,Argentina,-6,52
2021-04-24,Denmark,13,109
2021-04-24,China,52,324
2021-04-24,Australia,3,254
2021-04-25,France,0,79
2021-04-25,Argentina,41,72
2021-04-25,Denmark,-2,191
2021-04-25,China,-3,127
2021-04-25,Australia,31,13
2021-04-26,France,14,202
2021-04-26,Argentina,13,42
2021-04-26,Denmark,9,104
2021-04-26,China,45,323
2021-04-26,Australia,51,87
2021-04-27,France,44,206
2021-04-27,Argentina,8,345
2021-04-27,Denmark,4,324
2021-04-27,China,21,263
2021-04-27,Australia,22,333
2021-04-28,France,6,99
2021-04-28,Argentina,48,339
2021-04-28,Denmark,-9,321
2021-04-28,China,-11,213
2021-04-28,Australia,34,110
2021-04-29,France,-9,149
2021-04-29,Argentina,-5,262
2021-04-29,Denmark,14,107
2021-04-29,China,49,81
2021-04-29,Australia,15,192
2021-04-30,France,43,113
2021-04-30,Argentina,46,95
2021-04-30,Denmark,-11,99
2021-04-30,China,29,64
2021-04-30,Australia,-3,95
2021-05-01,France,0,154
2021-05-01,Argentina,-3,60
2021-05-01,Denmark,48,228
2021-05-01,China,14,311
2021-05-01,Australia,11,124
2021-05-02,France,48,287
2021-05-02,Argentina,9,208
2021-05-02,Denmark,38,106
2021-05-02,China,-11,77
2021-05-02,Australia,25,65
2021-05-03,France,5,152
2021-05-03,Argentina,44,90
2021-05-03,Denmark,-4,151
2021-05-03,China,48,252
2021-05-03,Australia,-6,98
2021-05-04,France,20,83
2021-05-04,Argentina,3,65
2021-05-04,Denmark,15,253
2021-05-04,China,8,212
2021-05-04,Australia,35,125
2021-05-05,France,7,171
2021-05-05,Argentina,28,301
2021-05-05,Denmark,39,62
2021-05-05,China,34,267
2021-05-05,Australia,19,341
2021-05-06,France,47,111
2021-05-06,Argentina,-10,39
2021-05-06,Denmark,-4,256
2021-05-06,China,19,295
2021-05-06,Australia,32,76
2021-05-07,France,41,166
2021-05-07,Argentina,-4,50
2021-05-07,Denmark,19,265
2021-05-07,China,48,299
2021-05-07,Australia,17,327
2021-05-08,France,12,264
2021-05-08,Argentina,23,219
2021-05-08,Denmark,25,261
2021-05-08,China,38,300
2021-05-08,Australia,40,218
2021-05-09,France,39,174
2021-05-09,Argentina,-4,22
2021-05-09,Denmark,55,236
2021-05-09,China,13,321
2021-05-09,Australia,37,307
2021-05-10,France,-9,25
2021-05-10,Argentina,10,315
2021-05-10,Denmark,50,133
2021-05-10,China,36,164
2021-05-10,Australia,20,56
2021-05-11,France,-4,129
2021-05-11,Argentina,35,196
2021-05-11,Denmark,19,15
2021-05-11,China,7,163
2021-05-11,Australia,1,280
2021-05-12,France,-6,133
2021-05-12,Argentina,52,2
2021-05-12,Denmark,-8,294
2021-05-12,China,31,216
2021-05-12,Australia,37,118
2021-05-13,France,19,106
2021-05-13,Argentina,50,197
2021-05-13,Denmark,8,158
2021-05-13,China,35,108
2021-05-13,Australia,52,197
2021-05-14,France,18,54
2021-05-14,Argentina,26,137
2021-05-14,Denmark,44,256
2021-05-14,China,15,329
2021-05-14,Australia,13,269
2021-05-15,France,20,130
2021-05-15,Argentina,34,176
2021-05-15,Denmark,15,283
2021-05-15,China,7,128
2021-05-15,Australia,43,70
2021-05-16,France,34,205
2021-05-16,Argentina,43,242
2021-05-16,Denmark,31,135
2021-05-16,China,32,173
2021-05-16,Australia,24,62
2021-05-17,France,51,91
2021-05-17,Argentina,48,99
2021-05-17,Denmark,3,40
2021-05-17,China,54,152
2021-05-17,Australia,-4,347
2021-05-18,France,31,326
2021-05-18,Argentina,16,253
2021-05-18,Denmark,54,266
2021-05-18,China,17,329
2021-05-18,Australia,37,177
2021-05-19,France,9,90
2021-05-19,Argentina,8,327
2021-05-19,Denmark,-10,283
2021-05-19,China,21,196
2021-05-19,Australia,45,261
2021-05-20,France,7,216
2021-05-20,Argentina,30,177
2021-05-20,Denmark,14,191
2021-05-20,China,25,343
2021-05-20,Australia,18,109
2021-05-21,France,7,23
2021-05-21,Argentina,21,66
2021-05-21,Denmark,24,168
2021-05-21,China,29,15
2021-05-21,Australia,18,101
2021-05-22,France,4,54
2021-05-22,Argentina,48,292
2021-05-22,Denmark,7,88
2021-05-22,China,26,291
2021-05-22,Australia,14,15
2021-05-23,France,54,252
2021-05-23,Argentina,7,221
2021-05-23,Denmark,40,160
2021-05-23,China,20,268
2021-05-23,Australia,29,70
2021-05-24,France,32,347
2021-05-24,Argentina,45,84
2021-05-24,Denmark,10,112
2021-05-24,China,46,290
2021-05-24,Australia,16,78
2021-05-25,France,49,196
2021-05-25,Argentina,-8,124
2021-05-25,Denmark,36,36
2021-05-25,China,33,56
2021-05-25,Australia,39,320
2021-05-26,France,55,243
2021-05-26,Argentina,18,73
2021-05-26,Denmark,32,211
2021-05-26,China,42,30
2021-05-26,Australia,49,141
2021-05-27,France,52,128
2021-05-27,Argentina,-2,250
2021-05-27,Denmark,15,122
2021-05-27,China,47,207
2021-05-27,Australia,-9,200
2021-05-28,France,25,145
2021-05-28,Argentina,34,34
2021-05-28,Denmark,30,151
2021-05-28,China,15,35
2021-05-28,Australia,37,187
2021-05-29,France,16,329
2021-05-29,Argentina,-9,238
2021-05-29,Denmark,11,56
2021-05-29,China,31,113
2021-05-29,Australia,39,112
2021-05-30,France,44,241
2021-05-30,Argentina,47,37
2021-05-30,Denmark,51,52
2021-05-30,China,54,7
2021-05-30,Australia,34,334
2021-05-31,France,-7,136
2021-05-31,Argentina,30,140
2021-05-31,Denmark,7,75
2021-05-31,China,-6,254
2021-05-31,Australia,47,216
2021-06-01,France,19,275
2021-06-01,Argentina,-11,271
2021-06-01,Denmark,55,333
2021-06-01,China,27,237
2021-06-01,Australia,25,79
2021-06-02,France,25,338
2021-06-02,Argentina,53,163
2021-06-02,Denmark,41,157
2021-06-02,China,44,326
2021-06-02,Australia,3,306
2021-06-03,France,28,184
2021-06-03,Argentina,18,179
2021-06-03,Denmark,20,150
2021-06-03,China,10,80
2021-06-03,Australia,20,165
2021-06-04,France,40,61
2021-06-04,Argentina,0,19
2021-06-04,Denmark,-7,70
2021-06-04,China,-3,26
2021-06-04,Australia,35,344
2021-06-05,France,14,243
2021-06-05,Argentina,25,7
2021-06-05,Denmark,9,346
2021-06-05,China,12,186
2021-06-05,Australia,2,332
2021-06-06,France,20,300
2021-06-06,Argentina,14,46
2021-06-06,Denmark,23,271
2021-06-06,China,-4,171
2021-06-06,Australia,26,184
2021-06-07,France,39,288
2021-06-07,Argentina,32,253
2021-06-07,Denmark,52,40
2021-06-07,China,-11,245
2021-06-07,Australia,38,210
2021-06-08,France,-2,215
2021-06-08,Argentina,33,102
2021-06-08,Denmark,-10,12
2021-06-08,China,42,198
2021-06-08,Australia,-4,19
2021-06-09,France,35,102
2021-06-09,Argentina,31,312
2021-06-09,Denmark,36,125
2021-06-09,China,6,234
2021-06-09,Australia,27,118
2021-06-10,France,38,263
2021-06-10,Argentina,52,62
2021-06-10,Denmark,51,146
2021-06-10,China,8,36
2021-06-10,Australia,1,243
2021-06-11,France,3,135
2021-06-11,Argentina,50,262
2021-06-11,Denmark,-5,269
2021-06-11,China,19,297
2021-06-11,Australia,17,12
2021-06-12,France,16,62
2021-06-12,Argentina,-6,22
2021-06-12,Denmark,8,217
2021-06-12,China,-3,251
2021-06-12,Australia,-11,120
2021-06-13,France,0,333
2021-06-13,Argentina,33,163
2021-06-13,Denmark,-2,161
2021-06-13,China,39,316
2021-06-13,Australia,52,29
2021-06-14,France,32,75
2021-06-14,Argentina,31,102
2021-06-14,Denmark,5,308
2021-06-14,China,34,197
2021-06-14,Australia,25,170
2021-06-15,France,-9,82
2021-06-15,Argentina,53,336
2021-06-15,Denmark,-4,125
2021-06-15,China,3,103
2021-06-15,Australia,2,261
2021-06-16,France,-5,203
2021-06-16,Argentina,15,326
2021-06-16,Denmark,-6,120
2021-06-16,China,43,77
2021-06-16,Australia,39,227
2021-06-17,France,-1,133
2021-06-17,Argentina,12,237
2021-06-17,Denmark,50,176
2021-06-17,China,40,110
2021-06-17,Australia,55,179
2021-06-18,France,-6,124
2021-06-18,Argentina,43,151
2021-06-18,Denmark,43,150
2021-06-18,China,34,63
2021-06-18,Australia,-1,252
2021-06-19,France,1,35
2021-06-19,Argentina,39,174
2021-06-19,Denmark,-11,279
2021-06-19,China,39,259
2021-06-19,Australia,8,164
2021-06-20,France,-7,319
2021-06-20,Argentina,6,226
2021-06-20,Denmark,27,259
2021-06-20,China,21,165
2021-06-20,Australia,0,258
2021-06-21,France,49,74
2021-06-21,Argentina,-6,330
2021-06-21,Denmark,34,107
2021-06-21,China,2,302
2021-06-21,Australia,25,159
2021-06-22,France,-3,273
2021-06-22,Argentina,39,94
2021-06-22,Denmark,7,335
2021-06-22,China,23,75
2021-06-22,Australia,-3,95
2021-06-23,France,11,169
2021-06-23,Argentina,16,196
2021-06-23,Denmark,37,131
2021-06-23,China,16,322
2021-06-23,Australia,23,21
2021-06-24,France,9,64
2021-06-24,Argentina,27,224
2021-06-24,Denmark,4,298
2021-06-24,China,24,244
2021-06-24,Australia,36,298
2021-06-25,France,7,184
2021-06-25,Argentina,29,215
2021-06-25,Denmark,22,339
2021-06-25,China,29,307
2021-06-25,Australia,-5,132
2021-06-26,France,28,181
2021-06-26,Argentina,11,17
2021-06-26,Denmark,46,59
2021-06-26,China,39,323
2021-06-26,Australia,49,265
2021-06-27,France,19,171
2021-06-27,Argentina,-11,209
2021-06-27,Denmark,27,211
2021-06-27,China,20,309
2021-06-27,Australia,2,332
2021-06-28,France,0,153
2021-06-28,Argentina,30,322
2021-06-28,Denmark,31,26
2021-06-28,China,-9,155
2021-06-28,Australia,21,255
2021-06-29,France,42,14
2021-06-29,Argentina,4,255
2021-06-29,Denmark,18,146
2021-06-29,China,33,313
2021-06-29,Australia,8,212
2021-06-30,France,-10,76
2021-06-30,Argentina,8,133
2021-06-30,Denmark,35,119
2021-06-30,China,26,167
2021-06-30,Australia,17,248
2021-07-01,France,-1,188
2021-07-01,Argentina,-8,179
2021-07-01,Denmark,42,144
2021-07-01,China,0,59
2021-07-01,Australia,7,110
2021-07-02,France,26,148
2021-07-02,Argentina,39,292
2021-07-02,Denmark,-1,181
2021-07-02,China,25,56
2021-07-02,Australia,4,332
2021-07-03,France,2,103
2021-07-03,Argentina,0,239
2021-07-03,Denmark,8,197
2021-07-03,China,29,348
2021-07-03,Australia,24,101
2021-07-04,France,55,186
2021-07-04,Argentina,34,284
2021-07-04,Denmark,46,14
2021-07-04,China,34,8
2021-07-04,Australia,33,248
2021-07-05,France,7,6
2021-07-05,Argentina,18,150
2021-07-05,Denmark,20,298
2021-07-05,China,47,98
2021-07-05,Australia,50,185
2021-07-06,France,36,55
2021-07-06,Argentina,34,148
2021-07-06,Denmark,46,305
2021-07-06,China,-3,26
2021-07-06,Australia,-7,272
2021-07-07,France,45,15
2021-07-07,Argentina,32,23
2021-07-07,Denmark,27,312
2021-07-07,China,4,55
2021-07-07,Australia,2,228
2021-07-08,France,51,40
2021-07-08,Argentina,25,51
2021-07-08,Denmark,11,27
2021-07-08,China,25,100
2021-07-08,Australia,47,87
2021-07-09,France,27,173
